"cluster_id","ccount","slot_signature_token"
118091,2174,LH:32|RH:32|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
118116,2152,LH:82|RH:82|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117518,2031,LH:92|RH:0|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117987,2017,LH:90|RH:90|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117091,1969,LH:0|RH:41|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117205,1948,LH:2|RH:2|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117196,1939,LH:63|RH:67|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117096,1927,LH:90|RH:90|TF:0|LE:0|RE:0|MO:0|SH:89|WA:0|FT:0
117164,1875,LH:0|RH:26|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117149,1826,LH:83|RH:83|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117189,1780,LH:26|RH:0|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117242,1773,LH:67|RH:67|TF:0|LE:0|RE:0|MO:0|SH:27|WA:0|FT:0
117613,1713,LH:0|RH:32|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117444,1645,LH:67|RH:63|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117304,1609,LH:0|RH:0|TF:0|LE:0|RE:0|MO:0|SH:0|WA:63|FT:0
117102,1592,LH:67|RH:0|TF:0|LE:0|RE:0|MO:0|SH:27|WA:0|FT:0
117373,1462,LH:0|RH:0|TF:0|LE:0|RE:0|MO:27|SH:0|WA:0|FT:0
118661,1408,LH:0|RH:81|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117402,1372,LH:63|RH:0|TF:0|LE:0|RE:0|MO:0|SH:27|WA:0|FT:0
117286,1266,LH:100|RH:100|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117159,1256,LH:41|RH:0|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117128,1252,LH:60|RH:60|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117527,1238,LH:0|RH:63|TF:0|LE:0|RE:0|MO:0|SH:27|WA:0|FT:0
117192,1216,LH:73|RH:0|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117817,1212,LH:0|RH:95|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117948,1208,LH:33|RH:33|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
120112,1206,LH:81|RH:0|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117211,1164,LH:0|RH:73|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117555,1143,LH:73|RH:73|TF:0|LE:0|RE:0|MO:0|SH:27|WA:0|FT:0
118143,1132,LH:0|RH:0|TF:0|LE:0|RE:0|MO:110|SH:0|WA:0|FT:0
117410,1130,LH:0|RH:84|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117094,1121,LH:0|RH:0|TF:0|LE:0|RE:0|MO:90|SH:90|WA:0|FT:0
117394,1099,LH:32|RH:0|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117193,1058,LH:58|RH:58|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117162,1053,LH:24|RH:24|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117654,1049,LH:103|RH:103|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117201,1045,LH:74|RH:74|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117803,1025,LH:97|RH:97|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117287,993,LH:63|RH:63|TF:0|LE:0|RE:0|MO:0|SH:0|WA:56|FT:0
117297,993,LH:57|RH:57|TF:0|LE:0|RE:0|MO:0|SH:0|WA:63|FT:0
120084,975,LH:0|RH:82|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117351,911,LH:25|RH:25|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117163,905,LH:37|RH:37|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117239,897,LH:0|RH:0|TF:0|LE:0|RE:0|MO:0|SH:63|WA:63|FT:0
117118,890,LH:63|RH:63|TF:92|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117284,822,LH:1|RH:1|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117221,791,LH:0|RH:86|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117230,780,LH:39|RH:39|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
119695,780,LH:80|RH:80|TF:0|LE:0|RE:0|MO:0|SH:27|WA:0|FT:0
117129,779,LH:55|RH:55|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
118779,773,LH:94|RH:94|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117142,757,LH:57|RH:57|TF:0|LE:0|RE:0|MO:0|SH:63|WA:63|FT:0
118039,755,LH:84|RH:0|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117104,741,LH:29|RH:29|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
119846,737,LH:90|RH:90|TF:0|LE:0|RE:0|MO:0|SH:27|WA:0|FT:0
117356,736,LH:95|RH:95|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117491,727,LH:63|RH:41|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117431,726,LH:0|RH:79|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117099,718,LH:56|RH:0|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117390,715,LH:95|RH:67|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117461,708,LH:0|RH:90|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117109,703,LH:0|RH:56|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117114,693,LH:0|RH:39|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
118069,671,LH:65|RH:65|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117154,666,LH:47|RH:47|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117110,659,LH:16|RH:16|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117769,645,LH:95|RH:0|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117264,642,LH:67|RH:67|TF:92|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117199,639,LH:0|RH:0|TF:0|LE:0|RE:0|MO:92|SH:92|WA:0|FT:0
117892,628,LH:66|RH:66|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
118958,612,LH:0|RH:0|TF:0|LE:0|RE:0|MO:0|SH:27|WA:63|FT:0
117283,609,LH:34|RH:34|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117245,602,LH:41|RH:67|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117348,600,LH:77|RH:77|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117106,597,LH:79|RH:79|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
120140,597,LH:82|RH:0|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117214,596,LH:28|RH:28|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117471,581,LH:76|RH:76|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117993,576,LH:0|RH:90|TF:0|LE:0|RE:0|MO:0|SH:89|WA:0|FT:0
118532,569,LH:81|RH:81|TF:0|LE:0|RE:0|MO:0|SH:0|WA:81|FT:0
117170,567,LH:41|RH:63|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117558,558,LH:92|RH:67|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117625,551,LH:86|RH:0|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117148,550,LH:45|RH:45|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
119420,550,LH:0|RH:83|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117216,545,LH:0|RH:0|TF:0|LE:0|RE:0|MO:0|SH:0|WA:56|FT:0
117772,526,LH:0|RH:80|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117126,496,LH:67|RH:41|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117677,495,LH:108|RH:108|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117247,488,LH:40|RH:40|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117634,485,LH:0|RH:33|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117339,483,LH:0|RH:0|TF:0|LE:0|RE:0|MO:0|SH:13|WA:0|FT:0
117858,478,LH:0|RH:65|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117430,471,LH:0|RH:74|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
118096,467,LH:83|RH:0|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117392,464,LH:67|RH:95|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117501,462,LH:63|RH:63|TF:0|LE:0|RE:0|MO:0|SH:0|WA:63|FT:0
118057,462,LH:74|RH:0|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117175,458,LH:26|RH:67|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117639,446,LH:39|RH:0|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
120394,442,LH:80|RH:0|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117263,436,LH:67|RH:67|TF:0|LE:0|RE:0|MO:0|SH:0|WA:26|FT:0
117139,433,LH:58|RH:0|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
120870,433,LH:33|RH:0|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117433,430,LH:0|RH:40|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117282,426,LH:0|RH:58|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117886,422,LH:67|RH:92|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
118426,421,LH:0|RH:0|TF:33|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117492,420,LH:54|RH:54|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117574,403,LH:0|RH:28|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117557,401,LH:0|RH:0|TF:0|LE:0|RE:0|MO:0|SH:0|WA:26|FT:0
117173,397,LH:63|RH:56|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117265,389,LH:73|RH:67|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117343,387,LH:60|RH:60|TF:0|LE:0|RE:0|MO:0|SH:0|WA:63|FT:0
117529,382,LH:56|RH:63|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117750,382,LH:0|RH:0|TF:111|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117438,378,LH:67|RH:67|TF:0|LE:0|RE:0|MO:0|SH:0|WA:63|FT:0
118690,376,LH:0|RH:0|TF:0|LE:0|RE:0|MO:90|SH:27|WA:0|FT:0
117130,372,LH:56|RH:56|TF:0|LE:0|RE:0|MO:0|SH:27|WA:0|FT:0
117267,371,LH:73|RH:63|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
118808,371,LH:0|RH:0|TF:0|LE:0|RE:0|MO:0|SH:0|WA:63|FT:63
117191,359,LH:63|RH:63|TF:0|LE:0|RE:0|MO:67|SH:0|WA:0|FT:0
117559,354,LH:0|RH:0|TF:0|LE:0|RE:0|MO:0|SH:0|WA:56|FT:56
117369,353,LH:90|RH:0|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117866,349,LH:0|RH:0|TF:0|LE:0|RE:0|MO:0|SH:63|WA:0|FT:0
117305,348,LH:110|RH:110|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117834,346,LH:0|RH:47|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117315,342,LH:28|RH:0|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117842,339,LH:41|RH:41|TF:0|LE:0|RE:0|MO:0|SH:0|WA:63|FT:0
117414,334,LH:63|RH:73|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117684,332,LH:0|RH:67|TF:92|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117177,329,LH:63|RH:95|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117729,323,LH:0|RH:41|TF:0|LE:0|RE:0|MO:0|SH:27|WA:0|FT:0
117688,322,LH:0|RH:76|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
118131,320,LH:0|RH:0|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:32
119334,316,LH:90|RH:0|TF:0|LE:0|RE:0|MO:0|SH:89|WA:0|FT:0
117731,315,LH:62|RH:62|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
119597,315,LH:63|RH:67|TF:0|LE:0|RE:0|MO:0|SH:27|WA:0|FT:0
121010,314,LH:0|RH:96|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
118029,313,LH:95|RH:63|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
119742,311,LH:67|RH:63|TF:0|LE:0|RE:0|MO:0|SH:27|WA:0|FT:0
117296,310,LH:2|RH:2|TF:0|LE:0|RE:0|MO:0|SH:27|WA:0|FT:0
117508,309,LH:65|RH:0|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
120531,308,LH:82|RH:82|TF:0|LE:0|RE:0|MO:0|SH:27|WA:0|FT:0
117165,302,LH:0|RH:24|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
118832,302,LH:41|RH:41|TF:0|LE:0|RE:0|MO:0|SH:27|WA:0|FT:0
118076,300,LH:73|RH:73|TF:0|LE:0|RE:0|MO:0|SH:0|WA:63|FT:0
118911,298,LH:63|RH:63|TF:0|LE:0|RE:0|MO:90|SH:90|WA:0|FT:0
117125,296,LH:63|RH:63|TF:0|LE:0|RE:0|MO:0|SH:0|WA:60|FT:0
117687,290,LH:0|RH:0|TF:0|LE:0|RE:0|MO:67|SH:0|WA:0|FT:0
117746,290,LH:56|RH:56|TF:0|LE:0|RE:0|MO:0|SH:0|WA:63|FT:0
117121,289,LH:49|RH:49|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117291,289,LH:59|RH:59|TF:0|LE:0|RE:0|MO:0|SH:0|WA:63|FT:0
117980,289,LH:0|RH:34|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
120004,288,LH:27|RH:27|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117156,287,LH:67|RH:26|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117582,285,LH:0|RH:108|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
120158,284,LH:0|RH:0|TF:0|LE:0|RE:0|MO:0|SH:0|WA:32|FT:0
117238,282,LH:0|RH:29|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117269,282,LH:67|RH:67|TF:0|LE:0|RE:0|MO:0|SH:0|WA:56|FT:0
120091,282,LH:81|RH:81|TF:0|LE:0|RE:0|MO:0|SH:27|WA:0|FT:0
118274,280,LH:79|RH:0|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
118354,280,LH:0|RH:67|TF:0|LE:0|RE:0|MO:0|SH:0|WA:63|FT:0
117089,278,LH:8|RH:8|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
119479,275,LH:73|RH:0|TF:0|LE:0|RE:0|MO:0|SH:27|WA:0|FT:0
117090,273,LH:0|RH:2|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117623,272,LH:38|RH:38|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
118005,272,LH:0|RH:0|TF:92|LE:0|RE:0|MO:0|SH:27|WA:0|FT:0
117310,270,LH:46|RH:46|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117486,270,LH:109|RH:109|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117649,270,LH:63|RH:63|TF:0|LE:0|RE:0|MO:0|SH:0|WA:56|FT:56
117249,269,LH:60|RH:60|TF:0|LE:0|RE:0|MO:0|SH:0|WA:56|FT:0
117952,268,LH:7|RH:7|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117937,264,LH:0|RH:0|TF:0|LE:0|RE:0|MO:0|SH:0|WA:60|FT:0
117381,263,LH:73|RH:73|TF:0|LE:0|RE:0|MO:0|SH:0|WA:56|FT:0
117466,263,LH:3|RH:3|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
118093,263,LH:83|RH:95|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
118545,263,LH:67|RH:0|TF:92|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
120015,259,LH:0|RH:90|TF:0|LE:0|RE:0|MO:0|SH:27|WA:0|FT:0
117195,255,LH:24|RH:0|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117446,254,LH:67|RH:67|TF:0|LE:0|RE:0|MO:0|SH:63|WA:63|FT:0
117758,252,LH:0|RH:0|TF:0|LE:0|RE:0|MO:0|SH:26|WA:26|FT:0
118686,252,LH:0|RH:27|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117680,251,LH:27|RH:0|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117724,250,LH:0|RH:28|TF:0|LE:0|RE:0|MO:0|SH:27|WA:0|FT:0
118153,250,LH:0|RH:26|TF:0|LE:0|RE:0|MO:0|SH:27|WA:0|FT:0
121760,248,LH:95|RH:83|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117298,247,LH:60|RH:0|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117871,247,LH:0|RH:0|TF:0|LE:0|RE:0|MO:0|SH:0|WA:26|FT:26
119631,246,LH:28|RH:0|TF:0|LE:0|RE:0|MO:0|SH:27|WA:0|FT:0
118147,245,LH:47|RH:0|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117537,244,LH:67|RH:0|TF:0|LE:0|RE:0|MO:0|SH:0|WA:63|FT:0
117437,239,LH:67|RH:73|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117736,237,LH:0|RH:0|TF:0|LE:0|RE:0|MO:0|SH:67|WA:0|FT:0
117384,232,LH:48|RH:48|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117741,231,LH:0|RH:0|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:56
118072,231,LH:56|RH:56|TF:0|LE:0|RE:0|MO:0|SH:63|WA:63|FT:0
119958,230,LH:90|RH:90|TF:0|LE:0|RE:0|MO:89|SH:89|WA:0|FT:0
117237,229,LH:0|RH:25|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117153,228,LH:101|RH:101|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117423,226,LH:2|RH:0|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
120560,226,LH:81|RH:81|TF:0|LE:0|RE:0|MO:81|SH:81|WA:0|FT:0
117474,225,LH:56|RH:56|TF:0|LE:0|RE:0|MO:0|SH:0|WA:56|FT:0
117738,223,LH:40|RH:0|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
118812,221,LH:0|RH:73|TF:0|LE:0|RE:0|MO:0|SH:27|WA:0|FT:0
118421,219,LH:57|RH:57|TF:0|LE:0|RE:0|MO:0|SH:27|WA:0|FT:0
118455,217,LH:0|RH:0|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:63
117488,216,LH:63|RH:63|TF:0|LE:0|RE:0|MO:0|SH:13|WA:0|FT:0
120266,214,LH:81|RH:81|TF:0|LE:0|RE:0|MO:0|SH:81|WA:0|FT:0
117747,212,LH:0|RH:97|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117275,211,LH:0|RH:60|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117801,207,LH:73|RH:73|TF:0|LE:0|RE:0|MO:73|SH:0|WA:0|FT:0
120883,207,LH:96|RH:96|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117166,205,LH:0|RH:0|TF:0|LE:0|RE:0|MO:0|SH:0|WA:24|FT:0
119812,204,LH:0|RH:0|TF:0|LE:0|RE:0|MO:0|SH:27|WA:56|FT:0
117645,202,LH:26|RH:0|TF:0|LE:0|RE:0|MO:0|SH:27|WA:0|FT:0
119749,202,LH:81|RH:81|TF:0|LE:0|RE:0|MO:81|SH:0|WA:81|FT:0
118231,201,LH:59|RH:59|TF:0|LE:0|RE:0|MO:0|SH:63|WA:63|FT:0
119729,201,LH:0|RH:78|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
119881,201,LH:74|RH:74|TF:0|LE:0|RE:0|MO:0|SH:27|WA:0|FT:0
119640,200,LH:0|RH:103|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117261,198,LH:36|RH:36|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117594,194,LH:63|RH:63|TF:0|LE:0|RE:0|MO:0|SH:0|WA:67|FT:0
117435,192,LH:105|RH:105|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117812,192,LH:94|RH:0|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
118748,192,LH:92|RH:63|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117246,191,LH:53|RH:53|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
118432,190,LH:0|RH:110|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117387,189,LH:29|RH:0|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117345,188,LH:41|RH:0|TF:0|LE:0|RE:0|MO:0|SH:27|WA:0|FT:0
117951,188,LH:0|RH:0|TF:0|LE:0|RE:0|MO:0|SH:0|WA:67|FT:0
118642,188,LH:0|RH:94|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
120322,187,LH:0|RH:0|TF:0|LE:0|RE:0|MO:0|SH:0|WA:81|FT:0
118647,186,LH:78|RH:78|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117924,183,LH:63|RH:92|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117144,180,LH:45|RH:0|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117587,180,LH:57|RH:57|TF:0|LE:0|RE:0|MO:67|SH:0|WA:0|FT:0
117329,175,LH:41|RH:41|TF:0|LE:0|RE:0|MO:0|SH:0|WA:60|FT:0
117157,173,LH:15|RH:15|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
118613,173,LH:0|RH:56|TF:0|LE:0|RE:0|MO:0|SH:27|WA:0|FT:0
117643,172,LH:56|RH:0|TF:0|LE:0|RE:0|MO:0|SH:27|WA:0|FT:0
117086,171,LH:60|RH:41|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
119902,171,LH:28|RH:28|TF:0|LE:0|RE:0|MO:0|SH:27|WA:0|FT:0
119830,170,LH:0|RH:0|TF:0|LE:0|RE:0|MO:92|SH:0|WA:0|FT:0
120161,170,LH:66|RH:0|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117241,169,LH:0|RH:67|TF:0|LE:0|RE:0|MO:0|SH:0|WA:26|FT:0
117505,169,LH:63|RH:63|TF:0|LE:0|RE:0|MO:0|SH:27|WA:56|FT:0
117785,169,LH:90|RH:89|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
118237,167,LH:0|RH:45|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117562,166,LH:25|RH:0|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117755,163,LH:0|RH:62|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117140,162,LH:57|RH:0|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
117846,162,LH:34|RH:0|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
118132,162,LH:0|RH:54|TF:0|LE:0|RE:0|MO:0|SH:0|WA:0|FT:0
