Chinese,Fitted
"挑战","challenge"
"包","Bag"
"书包","bag"
"援救","rescue"
"珠宝","jewelry"
"手帕","handkerchief"
"伞","umbrella"
"领导能力","leadership"
"帽子","hat"
"技能","Skill"
"技巧","Skill"
"成功","success"
"动机","motivation"
"唇膏","lipstick"
"睫毛膏","mascara"
"马斯卡拉","Mascara"
"专长","Expertise"
"成就","Achievement"
"财富","wealth"
"肉","Meat"
"海产","seafood"
"玩具","Toy"
"环境损害","environmental damage"
"循环利用","Recycling"
"涂鸦","Graffiti"
"脚印","footprint"
"电话机","telephone"
"传真机","fax machine"
"数据","data"
"计算机设备","computer equipment"
"拖拉机","tractor"
"联合收割机","combine harvester"
"蜂箱","beehive"
"推土机","bulldozer"
"砖","brick"
"零售展示","retail display"
"购物车","shopping cart"
"药","medicine"
"牙钻","dental drill"
"试管","test tube"
"显微镜","microscope"
"皮氏培养皿","petri dish"
"农业","agriculture"
"建筑","architecture"
"商务","Business"
"建筑业","construction industry"
"环境","environment"
"人生大事","Life Events"
"新生儿","newborn"
"金融","finance"
"工业","industry"
"行业","industry"
"生活方式","lifestyles"
"自然","nature"
"自然界","nature"
"研究","Research"
"研究会","Research"
"零售","retail"
"科学","science"
"路","road"
"社会问题","Social Issues"
"运河","canal"
"运输","transportation"
"交通方式","Transportation"
"交通","transportation"
"陆用车","land vehicle"
"自动售货机","vending machine"
"信用卡","credit card"
"硬币","coin"
"自动取款机","ATM"
"小企业","small business"
"植物学","botany"
"乐器","musical instrument"
"构图","composition"
"视点","viewpoint"
"全景","panoramic"
"布莱叶盲文","Braille"
"数字","number"
"数","number"
"静物","still life"
"满画幅","full frame"
"盾形徽章","coat of arms"
"路标","road sign"
"户外","outdoors"
"房地产标志","real estate sign"
"告示牌","Billboard"
"箭头符号","arrow symbol"
"室内","indoors"
"金融区","financial district"
"唐人街","Chinatown"
"海港","harbor"
"商用码头","commercial dock"
"边界","boundary"
"公共建筑","public building"
"金融建筑","financial building"
"工业建筑","industrial building"
"办公室","office"
"会议室","meeting room"
"车间","workshop"
"工作坊","workshop"
"城堡","castle"
"公寓","apartment"
"农舍","farmhouse"
"豪宅","mansion"
"宫殿","palace"
"圆顶石屋","igloo"
"圆顶雪屋","igloo"
"牧人小屋","Chalet"
"帐篷","tent"
"广角","wide angle"
"柔焦","soft focus"
"散焦","Defocused"
"古典式","classical style"
"古典风格","Classical style"
"哥特式风格","gothic style"
"维多利亚女王时代风格","victorian style"
"20世纪风格","20th century style"
"蒲团","futon"
"吊床","hammock"
"扶手椅","armchair"
"圈椅","armchair"
"茶几","coffee table"
"桌布","tablecloth"
"餐巾","napkin"
"毛巾","towel"
"电灯","electric light"
"电扇","electric fan"
"空调","air conditioner"
"灯开关","light switch"
"大特写","close-up"
"人的头部","human head"
"餐刀","table knife"
"汤匙","spoon"
"盘子","plate"
"碗","bowl"
"杯","cup"
"茶杯","cup"
"茶碟","saucer"
"人的脖子","human neck"
"马克杯","mug"
"人的耳朵","human ear"
"人的脸部","human face"
"水罐","jug"
"煎锅","frying pan"
"炒菜锅","wok"
"炖锅","saucepan"
"人的鼻子","human nose"
"磁共振成象扫描","MRI scan"
"茄克","Jacket"
"超声波","ultrasound"
"冬衣","winter coat"
"人的嘴","human mouth"
"篮子","basket"
"筐","basket"
"手提箱","suitcase"
"公文包","briefcase"
"人的牙齿","human teeth"
"购物袋","Shopping Bag"
"项链","necklace"
"手镯","bracelet"
"手链","Bracelet"
"领结","bow tie"
"蝴蝶结","bow tie"
"眉毛","Eyebrow"
"太阳镜","sunglasses"
"睫毛","eyelash"
"眼睛颜色","eye color"
"冷饮","cold drink"
"香槟","champagne"
"香槟色","champagne"
"葡萄酒","wine"
"正面视角","front view"
"烈性酒","hard liquor"
"鸡尾酒","cocktail"
"侧面视角","side view"
"鸡蛋","egg"
"蛋","Egg"
"卵","egg"
"自行车手套","egg"
"面粉","flour"
"面包","bread"
"生面","Noodles"
"面饼","Noodles"
"背面视角","rear view"
"黄油","butter"
"奶酪","cheese"
"酸奶","yogurt"
"香肠","sausage"
"蓝色眼睛","blue eyes"
"褐色眼睛","brown eyes"
"肉馅饼","meat pie"
"数字增强","digital enhancement"
"绿色眼睛","green eyes"
"失真的图像","Distorted image"
"糖果","candy"
"灰色眼睛","gray eyes"
"巧克力","chocolate"
"淡褐色眼睛","hazel eyes"
"合成图像","composite image"
"蛋糕","cake"
"冰淇淋","ice cream"
"雪糕","ice cream"
"自助餐","buffet"
"自助餐厅","buffet"
"宴会","banquet"
"宴请","banquet"
"晚餐","dinner"
"面部毛发","facial hair"
"午餐","Lunch"
"野餐","picnic"
"早餐","breakfast"
"面食","pasta"
"通心粉","pasta"
"络腮胡子","beard"
"比萨饼","pizza"
"薄饼","pizza"
"比萨","pizza"
"沙拉","salad"
"小胡子","mustache"
"八字胡","Mustache"
"汤","Soup"
"球拍","racket"
"雪板","ski"
"秤砣","Weights"
"体毛","body hair"
"钓竿","fishing rod"
"胸毛","chest hair"
"书","Book"
"收音机","radio"
"高对比度","high contrast"
"多重曝光","multiple exposure"
"长时间曝光","long exposure"
"摩天轮","Ferris wheel"
"人偶","Doll"
"木偶","puppet"
"马戏团","circus"
"欣喜若狂","ecstatic"
"深情的","affectionate"
"歌剧","opera"
"歌剧院","opera"
"发型","hairstyle"
"牛仔竞技比赛","rodeo"
"小卷发","Curly hair"
"直发","straight hair"
"分娩","childbirth"
"葬礼","funeral"
"不舒服","uncomfortable"
"狂怒的","furious"
"抗议","protest"
"长发","long hair"
"短发","short hair"
"头发颜色","Hair color"
"战争","war"
"黑发","black hair"
"饥荒","famine"
"森林开伐","Deforestation"
"棕色头发","brown hair"
"人的手","human hand"
"计算机软件","computer software"
"字典","dictionary"
"认真的","serious"
"教科书","textbook"
"报纸","newspaper"
"后背","back"
"文档","document"
"文件","document"
"腰部","waist"
"图表","chart"
"乳房","breast"
"投影屏幕","projection screen"
"管道","pipeline"
"水坝","dam"
"电力线","power line"
"人脑","human brain"
"传送带","conveyor belt"
"吉尔吉斯斯坦的","Kyrgyzstan"
"苏丹","Sudan"
"货物集装箱","cargo container"
"人类心脏","human heart"
"圆桶","barrel"
"加护病房","intensive care unit"
"X光仪器","X-ray equipment"
"网球运动","Tennis"
"网球","tennis"
"医用激光器","medical laser"
"斯诺克","Snooker"
"斯诺克台球","Snooker"
"飞镖","darts"
"摔跤","wrestling"
"相扑","sumo wrestling"
"解剖刀","scalpel"
"听诊器","stethoscope"
"镊子","tweezers"
"空手道","karate"
"注射器","syringe"
"柔道","judo"
"轮椅","wheelchair"
"担架","stretcher"
"高崖跳伞","Skydiving"
"跳伞运动","skydiving"
"拐杖","crutch"
"解剖模型","anatomical model"
"定点跳伞","BASE jumping"
"划独木舟","canoeing"
"帆板","Windsurfing"
"帆板运动","windsurfing"
"浮潜","snorkeling"
"划艇","rowing"
"皮划艇运动","kayaking"
"水肺潜水","scuba diving"
"人头骨","human skull"
"登山","mountain climbing"
"露营","camping"
"蹦极","bungee jumping"
"双板滑雪","skiing"
"滑雪运动","Skiing"
"画架","easel"
"画板","drawing board"
"白人","white people"
"越野滑雪","Cross-country skiing"
"作画","paint"
"滚轴溜冰","roller skating"
"轮滑","roller skating"
"单板滑雪","snowboarding"
"设计","design"
"壁画","mural"
"染色玻璃","stained glass"
"雕塑","sculpture"
"雕刻","Sculpture"
"钓鱼","fishing"
"来福枪","rifle"
"发动机","engine"
"方向盘","steering wheel"
"安全带","seat belt"
"挡风玻璃","windshield"
"车罩","Car hood"
"船体","Hull"
"推进器","Thruster"
"前灯","headlight"
"工业船","industrial ship"
"田径赛","track and field"
"飞机","airplane"
"赛车运动","motorsport"
"热气球","hot air balloon"
"赤脚","barefoot"
"电话亭","telephone booth"
"日历","calendar"
"疤","scar"
"雀斑","freckle"
"箭术","Archery"
"尺","ruler"
"纹身","tattoo"
"刺纹身","tattoo"
"疙瘩","pimple"
"地图","map"
"残疾","Disability"
"铁人三项","triathlon"
"自然现象","natural phenomenon"
"铅笔","pencil"
"水笔","pen"
"动物","animal"
"墨水","ink"
"植物","plant"
"打字机","typewriter"
"计算器","calculator"
"怀孕","Pregnant"
"怀孕的","pregnant"
"妊娠的","pregnant"
"动物斑纹","animal markings"
"算盘","abacus"
"超重","overweight"
"苗条","slim"
"纤细的","Slim"
"摩托车赛","motorcycle racing"
"摩托车比赛","motorcycle racing"
"摩托车越野赛","motocross"
"键盘乐器","keyboard instrument"
"体操","gymnastics"
"观众","audience"
"举重训练","weight training"
"瑜伽","Yoga"
"瑜珈","Yoga"
"慢跑","jogging"
"人的角色","human role"
"双筒望远镜","Binoculars"
"控制面板","control Panel"
"滑板运动","skateboarding"
"男傧相","best man"
"骑车","Cycling"
"骑自行车","Cycling"
"水晶球","crystal ball"
"新娘","bride"
"女傧相","Bridesmaid"
"山地自行车运动","mountain biking"
"标签","Label"
"锁","Lock"
"高尔夫球运动","golf"
"高尔夫球","golf"
"麦克风","microphone"
"草地保龄球","lawn bowling"
"口哨","whistle"
"吹口哨","whistle"
"乘客","passenger"
"病人","patient"
"美元符号","Dollar sign"
"裁判","referee"
"停止标志","stop sign"
"停车标志","stop sign"
"警告标志","warning sign"
"动物行为","animal behavior"
"农民","farmer"
"贫民窟","slum"
"斑纹猫","tabby cat"
"姜黄色的猫","ginger cat"
"矿工","miner"
"纪念碑","monument"
"焊工","welder"
"吊桥","suspension bridge"
"生产线工人","production line worker"
"码头","pier"
"隧道","tunnel"
"塔","tower"
"城楼","tower"
"栏杆","railing"
"笼子","cage"
"烟囱","chimney"
"喷泉","fountain"
"客户服务代表","Customer Service Representative"
"篱笆","fence"
"围栏","fence"
"栅栏","fence"
"树篱","hedge"
"砖墙","brick wall"
"石墙","stone wall"
"交通职业","transportation occupation"
"墓地","cemetery"
"飞行员","pilot"
"引航","pilot"
"老虎机","Slot machine"
"机舱乘务员","cabin crew"
"停车场","PARKING LOT"
"销售主管","sales Executive"
"垃圾场","Landfill"
"垃圾填埋场","landfill"
"乡村路","country road"
"建筑师","architect"
"步行","walking"
"驾机","Flying"
"小丑","clown"
"音乐人","Musician"
"娱乐建筑","entertainment building"
"古典音乐人","classical musician"
"传统音乐家","traditional musician"
"工厂","factory"
"仓房","warehouse"
"控制室","control room"
"矿","mine"
"魔术师","magician"
"实验室","laboratory"
"天文台","observatory"
"调酒师","bartender"
"主厨","chef"
"侍者","waiter"
"男招待","Waiter"
"风车","windmill"
"畜舍","barn"
"农场","farm"
"农庄","farm"
"种植园","plantation"
"饭厅","dining room"
"卧室","bedroom"
"起居室","living room"
"工程师","engineer"
"经理","manager"
"Manager","Manager"
"窗户","window"
"门","Door"
"大门","door"
"天花板","ceiling"
"走廊","corridor"
"庭院","patio"
"门廊","porch"
"阳台","balcony"
"建筑柱","architectural column"
"静止的","stationary"
"停泊的","moored"
"修女","nun"
"神父","priest"
"牧师","Priest"
"圣职者","Priest"
"站","standing"
"犹太教教士","rabbi"
"坐","sitting"
"趴着","Lying down"
"跪着","kneeling"
"医生","doctor"
"全科医师","general practitioner"
"外科医生","surgeon"
"读书","reading"
"文艺复兴","Renaissance"
"接生员","midwife"
"微笑","smiling"
"护士","Nurse"
"验光师","optometrist"
"罗马式","Romanesque"
"放射科专家","radiologist"
"Aromatherapist","Aromatherapist"
"指着","pointing"
"毯子","blanket"
"裹毯","blanket"
"羽绒被","Duvet"
"枕头","Pillow"
"枕垫","Pillow"
"美容师","beautician"
"美发师","hairdresser"
"吊扇","ceiling fan"
"看","looking"
"螫刺的","stinging"
"教师","teacher"
"放牧","grazing"
"律师","lawyer"
"金融顾问","financial advisor"
"结婚戒指","Wedding ring"
"订婚戒指","engagement ring"
"毛虫","caterpillar"
"拿着","holding"
"捧着","Holding"
"背着","Carrying"
"动物头","animal head"
"牛奶","milk"
"饮用水","drinking water"
"苏打","soda"
"武装部队","armed forces"
"动物鼻子","animal nose"
"意大利腊肠","salami"
"欧式早餐","continental breakfast"
"英式早餐","English breakfast"
"动物牙齿","animal teeth"
"军队","army"
"海军","navy"
"缝纫","sewing"
"空军","air force"
"动物舌头","animal tongue"
"喙","beak"
"有角的","horned"
"烹调","cooking"
"煮食","Cooking"
"清洁工","cleaner"
"针织","knitting"
"泰迪熊","teddy bear"
"传统节日","traditional festival"
"典礼","ceremony"
"同性恋伴侣","gay couple"
"动物的臂","animal arm"
"尾巴","Tail"
"背鳍","dorsal fin"
"生日","Birthday"
"万圣节","halloween"
"父亲","Father"
"母亲","Mother"
"动物皮","animal skin"
"装货","loading"
"婚礼","wedding"
"女儿","daughter"
"儿子","son"
"宗教庆典","religious celebration"
"兄弟","brother"
"祖母","grandmother"
"管弦乐队","orchestra"
"祖父","grandfather"
"古典音乐会","classical concert"
"休息","resting"
"在休息","resting"
"孙子","grandson"
"日光浴","Sunbathing"
"孙女","granddaughter"
"家庭生活","Family"
"家庭","family"
"交际舞","ballroom dancing"
"芭蕾舞","ballet"
"芭蕾舞者","Ballet"
"嬉戏的","playful"
"两个孩子的家庭","family with two children"
"交通堵塞","Traffic jam"
"计算机键盘","computer keyboard"
"中央处理器","CPU"
"电路板","circuit board"
"电脑芯片","computer chip"
"电脑晶片","computer chip"
"台式个人电脑","Desktop PC"
"虚拟现实模拟器","virtual reality simulator"
"互联网","internet"
"合同","contract"
"契约","contract"
"阿斯匹林","Aspirin"
"雕像","statue"
"图腾柱","totem pole"
"汽车","car"
"车厢","car"
"轿车","car"
"脚踏车","bicycle"
"人力车","rickshaw"
"黄包车","rickshaw"
"雪橇","sled"
"巴士","bus"
"出租车","taxi"
"缆车","cable car"
"空中缆车","Cable car"
"叉车","forklift"
"铲车","Forklift"
"救护车","ambulance"
"救援车","ambulance"
"滑雪缆车","ski lift"
"洗涤","washing"
"帆船","sailboat"
"快艇","Speedboat"
"船屋","houseboat"
"渡轮","ferry"
"邮轮","cruise ship"
"拖捞船","trawler"
"拖轮","tugboat"
"蜘蛛网","spider web"
"燕窝","bird's nest"
"鸟巢","bird's nest"
"直升机","helicopter"
"卫星","satellite"
"秒表","Stopwatch"
"动物家庭","animal family"
"钢琴","piano"
"提琴家族","violin family"
"竖琴","harp"
"吉他","Guitar"
"英式橄榄球联合会","rugby union"
"木琴","xylophone"
"手鼓","Tambourine"
"铜锣","gong"
"钟","bell"
"铃","bell"
"坟墓","grave"
"墓穴","grave"
"昆虫","insect"
"胡同","alley"
"一巷","alley"
"弄堂","alley"
"街道","street"
"甲壳动物","Crustacean"
"软体动物","Mollusk"
"蠕虫","worm"
"自行车道","bicycle lane"
"鱼类","fish"
"餐馆","Restaurant"
"酒店","hotel"
"面包店","bakery"
"机场","Airport"
"车站","station"
"加油站","Gas station"
"公共汽车站","bus stop"
"健身房","Gym"
"健身俱乐部","gym"
"体育场馆","gym"
"体育场","stadium"
"舞池","dance floor"
"圆形剧场","amphitheater"
"游乐园","amusement park"
"音乐厅","concert hall"
"博物馆","museum"
"赌场","casino"
"大学","University"
"校舍","school building"
"图书馆","library"
"清真寺","mosque"
"教堂","church"
"圣堂","church"
"教会","church"
"大教堂","cathedral"
"小礼拜堂","chapel"
"修道院","monastery"
"修院","monastery"
"会堂","synagogue"
"犹太教会堂","synagogue"
"宝塔","pagoda"
"佛塔","pagoda"
"神社","shrine"
"社区中心","community Center"
"灯塔","lighthouse"
"灯塔船","lighthouse"
"厚皮动物","pachyderm"
"生产线","production line"
"奶昔","milkshake"
"圣帕特里克节","St. Patrick's Day"
"美国国庆日","Fourth of July"
"圣诞节","Christmas"
"复活节","Easter"
"光明节","Hanukkah"
"死亡节","day of the dead"
"降临节","Advent"
"笔记本电脑","laptop"
"跑车","sports car"
"货运火车","freight train"
"客运列车","passenger train"
"鲸","whale"
"大提琴","Cello"
"低音提琴","double bass"
"低音古提琴","double bass"
"海豚","dolphin"
"小提琴","violin"
"形状","shape"
"塑形","Shape"
"塑造","shape"
"蓝色","blue"
"褐色","brown"
"茶色","Brown"
"酸橙","lime"
"橙色","orange color"
"紫色","Purple"
"红色","red"
"黄色","yellow"
"明亮","bright"
"光亮","bright"
"半透明","translucent"
"透明","transparent"
"萨克斯","Saxophone"
"十字形","cross shape"
"星形","star shape"
"长号","trombone"
"角度","angle"
"锐角","acute angle"
"驴子","donkey"
"驴","donkey"
"直角","right angle"
"低音鼓","bass drum"
"小鼓","snare drum"
"斑马","zebra"
"骡子","mule"
"立方体形状","cube shape"
"圆柱体","cylinder"
"棱镜","prism"
"金字塔","pyramid"
"球体","sphere"
"小马","pony"
"马","horse"
"百货公司","department store"
"超级市场","supermarket"
"分形","Fractal"
"六边形","hexagon"
"公车站","bus station"
"长方形","rectangle"
"母牛","cow"
"绵羊","sheep"
"校园","campus"
"教室","classroom"
"山羊","goat"
"粗糙的","rough"
"尖利","sharp"
"尖的","sharp"
"平滑的","smooth"
"机织织物","woven fabric"
"猪","pig"
"花纹","pattern"
"长颈鹿","giraffe"
"材料","Material"
"驼色","camel"
"骆驼","camel"
"驯鹿","reindeer"
"成一排","in a row"
"鹿","deer"
"驼鹿","moose"
"自然图案","natural pattern"
"古老的","ancient"
"远古的","ancient"
"古代","Ancient"
"现代","modern"
"新的","new"
"退伍军人","Veteran"
"状态不良","Bad condition"
"肮脏的","dirty"
"凌乱","messy"
"损坏的","damaged"
"整齐的","neat"
"纺织品","textile"
"纺织","textile"
"金属","Metal"
"棉","cotton"
"棉花","cotton"
"亚麻布","Linen"
"丝绸","silk"
"斜纹软呢","Tweed"
"天鹅绒","velvet"
"羊毛","wool"
"合金","alloy"
"铝","aluminum"
"铝的","Aluminum"
"铜","copper"
"带领","lead"
"铅","lead"
"旅行车","station wagon"
"塑胶","plastic"
"纸","Paper"
"纸板","cardboard"
"皮革","leather"
"毛皮","fur"
"穿洞的","pierced"
"撕破的","torn"
"气候","climate"
"热带气候","tropical climate"
"挨着","next to"
"上下颠倒","upside down"
"前后倒置","upside down"
"象","elephant"
"小象","elephant"
"方向","direction"
"北","north"
"北方","north"
"南","South"
"南方","south"
"东","East"
"东方","East"
"非洲象","African elephant"
"狗","dog"
"熊","Bear"
"小熊","bear"
"排列","arrangement"
"堆","heap"
"叠","stack"
"虎","Tiger"
"纯种猫","purebred cat"
"暹罗猫","Siamese cat"
"充满","full"
"丰满","full"
"波斯猫","persian cat"
"拥挤的","Crowded"
"空的","empty"
"美国文化","American culture"
"纯种犬","purebred dog"
"斯班尼犬","Spaniel"
"柯利牧羊犬","Collie"
"灰猎犬","greyhound"
"英国文化","British Culture"
"雪橇犬","sled Dog"
"中国文化","Chinese culture"
"拉布拉多犬","labrador retriever"
"法国文化","French culture"
"德国文化","german culture"
"意大利文化","italian culture"
"西班牙文化","spanish culture"
"日本文化","Japanese culture"
"狼","Wolf"
"荷兰文化","Dutch culture"
"狐狸","fox"
"苏格兰文化","Scottish culture"
"爱尔兰文化","irish culture"
"开","open"
"开着的","open"
"关闭的","closed"
"封闭","closed"
"品脱酒杯","pint glass"
"野兔","Hare"
"松鼠","squirrel"
"刺猬","hedgehog"
"淡水鸟","freshwater bird"
"热带鸟","tropical bird"
"家禽","poultry"
"秃鹰","vulture"
"金雕","Golden eagle"
"企鹅","penguin"
"天鹅","swan"
"火烈鸟","flamingo"
"疣鼻天鹅","mute swan"
"鸽子","Pigeon"
"海鸥","seagull"
"鹦鹉","Parrot"
"孔雀","Peacock"
"虎皮鹦鹉","budgerigar"
"金刚鹦鹉","macaw"
"螃蟹","Crab"
"恐龙","Dinosaur"
"淡水鱼","freshwater fish"
"鳟鱼","trout"
"鲨鱼","shark"
"铰口鲨","Shark"
"咸水鳗","saltwater eel"
"大比目鱼","halibut"
"海鳗","moray eel"
"蚱蜢","grasshopper"
"蜜蜂","bee"
"蛾","moth"
"蚂蚁","Ant"
"病毒","Virus"
"牡蛎","Oyster"
"章鱼","octopus"
"八爪鱼","Octopus"
"鱿鱼","squid"
"海星","starfish"
"水母","jellyfish"
"海马","seahorse"
"蛇","snake"
"鳄鱼","Crocodile"
"蜥蜴","lizard"
"龟","turtle"
"眼镜蛇","cobra"
"变色龙","chameleon"
"青蛙","frog"
"蟾蜍","toad"
"蜘蛛","spider"
"蝎子","scorpion"
"摩托车","motorcycle"
"啤酒节","Oktoberfest"
"猿","ape"
"猴子","monkey"
"大猩猩","Gorilla"
"蔬菜","vegetable"
"真菌","Fungus"
"木耳","fungus"
"草本","Herb"
"水果","fruit"
"藻类","algae"
"花","flower"
"灌木丛","bush"
"树","Tree"
"紫菜","seaweed"
"海草","seaweed"
"常春藤","ivy"
"爬山虎","ivy"
"石南花","heather"
"秃树","bare tree"
"死亡的植物","dead plant"
"水","water"
"风","wind"
"天空","Sky"
"陆地","land"
"植物茎","plant stem"
"叶子","leaf"
"物理结构","physical structure"
"季节","season"
"花头","flower head"
"火焰","flame"
"花瓣","petal"
"花粉","pollen"
"暴风雨","storm"
"太阳","sun"
"月","moon"
"月亮","moon"
"月球","Moon"
"秧苗","seedling"
"流星","meteor"
"星云","nebula"
"种子","seed"
"花蕾","bud"
"橡树果","acorn"
"浆果","berry"
"金属矿石","metal ore"
"岩石类型","rock type"
"化石","fossil"
"固体","solid"
"风铃草","bluebell"
"液体","liquid"
"气泡","bubble"
"水晶","crystal"
"粒子","particle"
"雏菊","daisy"
"百合花","lily"
"夏天","summer"
"冬天","winter"
"向日葵","sunflower"
"秋天","autumn"
"郁金香","tulip"
"光效果","light effect"
"热带水果","tropical fruit"
"樱桃","cherry"
"葡萄","Grape"
"瓜","melon"
"甜瓜","melon"
"小的","small"
"小号","small"
"长的","long"
"桃","Peach"
"桃树","peach"
"桃色","peach"
"梨","pear"
"狭窄的","narrow"
"深的","deep"
"李子","Plum"
"梅子","plum"
"浅的","shallow"
"草莓","strawberry"
"西红柿","tomato"
"贫瘠的","Barren"
"被侵蚀的","eroded"
"风化的","weathered"
"香蕉","banana"
"喷","spray"
"喷雾","spray"
"水灾","flood"
"雨","rain"
"水坑","puddle"
"蘑菇","mushroom"
"香菇","mushroom"
"露水","dew"
"蒸汽","steam"
"河流","river"
"大麦","barley"
"小麦","wheat"
"间歇泉","geyser"
"欧芹","parsley"
"迷迭香","rosemary"
"鼠尾草","sage"
"百里香","thyme"
"苔藓","moss"
"地衣","Lichen"
"睡莲","water lily"
"台风","typhoon"
"干草","hay"
"强风","Gale"
"稻草","straw"
"吸管","straw"
"蕨类","fern"
"季候风","monsoon"
"雷雨","thunderstorm"
"满月","full moon"
"肉桂","Cinnamon"
"仙人掌","cactus"
"仙人球","cactus"
"卷云","cirrus"
"落叶树","deciduous tree"
"积雨云","Cumulonimbus"
"常绿树","evergreen tree"
"层云","stratus"
"热带树","tropical tree"
"苹果树","apple tree"
"樱桃树","Cherry tree"
"星系","galaxy"
"油橄榄树","olive tree"
"冻原","Tundra"
"桔树","orange tree"
"棕榈树","Palm tree"
"草坪","lawn"
"地平线","horizon"
"地平面","horizon"
"小丘","hill"
"山","Mountain"
"平原","plain"
"高原","plateau"
"火山","volcano"
"岛","island"
"海岛","island"
"悬崖","cliff"
"峭壁","cliff"
"礁石","reef"
"地下的","Underground"
"大蒜","garlic"
